Date,Infrastructure_Machineries,Daily_Sales _Percentage,Daily_Sales_Quantity,Market_Share,Political,Marketing,Budget,Region,Year,Month,Day,DayOfWeek,Machinery_Code,Region_Code
2019-01-04,Tele Handlers ,0.028812108,62,35,1,1,5000.56,Parkerchester,2019,1,4,4,5,1230
2019-01-05,Backhoe Loader,0.03216967,78,35,1,1,5000.56,Michaeltown,2019,1,5,5,0,887
2025-03-15,Excavators(crawler),0.03216967,60,35,1,1,5000.56,Lake Bryanberg,2025,3,15,5,2,649
2019-01-05,Loaders (Wheeled),0.03216967,61,35,1,1,5000.56,Michaelport,2019,1,5,5,3,883
2019-01-05,Skid Steer Loaders,0.03216967,73,35,1,1,5000.56,Lake Craig,2019,1,5,5,4,663
2019-01-05,Compactors,0.03216967,74,35,1,1,5000.56,Mariomouth,2019,1,5,5,1,826
2019-01-05,Tele Handlers ,0.03216967,76,35,1,1,5000.56,East Courtneyhaven,2019,1,5,5,5,265
2019-01-06,Excavators(crawler),0.030429155,77,35,1,1,5000.56,Luisview,2019,1,6,6,2,813
2019-01-06,Loaders (Wheeled),0.030429155,63,35,1,1,5000.56,South Nathanchester,2019,1,6,6,3,1625
2019-01-06,Skid Steer Loaders,0.030429155,72,35,1,1,5000.56,Josephmouth,2019,1,6,6,4,572
2019-01-06,Compactors,0.030429155,64,35,1,1,5000.56,Kimberlymouth,2019,1,6,6,1,620
2019-01-06,Tele Handlers ,0.030429155,54,35,1,1,5000.56,Paceton,2019,1,6,6,5,1225
2019-01-07,Backhoe Loader,0.032918451,3562,35000,1,1,5000.56,Martinezton,2019,1,7,0,0,838
2019-01-07,Excavators(crawler),0.032918451,86,35,1,1,5000.56,Scottborough,2019,1,7,0,2,1480
2019-01-07,Loaders (Wheeled),0.032918451,69,35,1,1,5000.56,Jimenezberg,2019,1,7,0,3,537
2019-01-07,Skid Steer Loaders,0.032918451,78,35,1,1,5000.56,Turnerland,2019,1,7,0,4,1740
2019-01-07,Tele Handlers ,0.032918451,62,35,1,1,5000.56,Deanport,2019,1,7,0,5,211
2019-01-08,Backhoe Loader,0.029616648,85,35,1,1,5000.56,New Christopher,2019,1,8,1,0,949
2019-01-08,Excavators(crawler),0.029616648,64,35,1,1,5000.56,Kiaraton,2019,1,8,1,2,617
2019-01-08,invalid_data,0.029616648,63,35,1,1,5000.56,Port Amandashire,2019,1,8,1,6,1259
2019-01-08,Compactors,0.029616648,63,35,1,1,5000.56,West Denisebury,2019,1,8,1,1,1810
2019-01-08,Tele Handlers ,0.029616648,66,35,1,1,5000.56,Danielside,2019,1,8,1,5,193
2019-01-09,Backhoe Loader,0.024112317,59,35,1,1,5000.56,West Ryanport,2019,1,9,2,0,1879
2019-01-09,Excavators(crawler),0.024112317,75,35,1,1,5000.56,Dwaynemouth,2019,1,9,2,2,234
2025-03-15,Loaders (Wheeled),0.024112317,67,35,1,1,5000.56,Joannafort,2025,3,15,5,3,540
2019-01-09,Skid Steer Loaders,0.024112317,72,35,1,1,5000.56,Port Anthonyside,2019,1,9,2,4,1267
2019-01-09,Compactors,0.024112317,71,35,1,1,5000.56,Alexandertown,2019,1,9,2,1,13
2019-01-09,Tele Handlers ,0.024112317,62,35,1,1,5000.56,Lake Jenniferview,2019,1,9,2,5,694
2019-01-10,Backhoe Loader,0.0310465,3563,35000,1,1,5000.56,West Rachel,2019,1,10,3,0,1872
2019-01-10,Excavators(crawler),0.0310465,71,35,1,1,5000.56,Stevenfurt,2019,1,10,3,2,1678
2019-01-10,Loaders (Wheeled),0.0310465,64,35,1,1,5000.56,New Bradleyport,2019,1,10,3,3,935
2019-01-10,Skid Steer Loaders,0.0310465,60,35,1,1,5000.56,Pughstad,2019,1,10,3,4,1399
2019-01-10,Compactors,0.0310465,58,35,1,1,5000.56,New Alicia,2019,1,10,3,1,923
2019-01-10,Tele Handlers ,0.0310465,55,35,1,1,5000.56,Erikville,2019,1,10,3,5,379
2019-01-11,Excavators(crawler),0.037721796,81,35,1,1,5000.56,West Carlosshire,2019,1,11,4,2,1803
2019-01-11,Loaders (Wheeled),0.037721796,74,35,1,1,5000.56,Danielfort,2019,1,11,4,3,189
2019-01-11,Skid Steer Loaders,0.037721796,73,35,1,1,5000.56,South Alyssaburgh,2019,1,11,4,4,1525
2019-01-11,Compactors,0.037721796,76,35,1,1,5000.56,West Elizabeth,2019,1,11,4,1,1815
2019-01-11,Tele Handlers ,0.037721796,50,35,1,1,5000.56,North Keithfort,2019,1,11,4,5,1148
2019-01-12,Excavators(crawler),0.035710445,70,35,1,1,5000.56,Meganland,2019,1,12,5,2,868
2019-01-12,Loaders (Wheeled),0.035710445,69,35,1,1,5000.56,East Chris,2019,1,12,5,3,260
2019-01-12,Skid Steer Loaders,0.035710445,69,35,1,1,5000.56,Lake Natasha,2019,1,12,5,4,737
2019-01-12,Tele Handlers ,0.035710445,71,35,1,1,5000.56,New Johnberg,2019,1,12,5,5,986
2019-01-13,Backhoe Loader,0.028760331,3573,35000,1,1,5000.56,Gainesbury,2019,1,13,6,0,396
2019-01-13,Excavators(crawler),0.028760331,68,35,1,1,5000.56,Annaburgh,2019,1,13,6,2,54
2019-01-13,Loaders (Wheeled),0.028760331,55,35,1,1,5000.56,Lake Jessemouth,2019,1,13,6,3,696
2025-03-15,invalid_data,0.028760331,75,35,1,1,5000.56,Kathleenmouth,2025,3,15,5,6,592
2019-01-13,Compactors,0.028760331,52,35,1,1,5000.56,Richardsonland,2019,1,13,6,1,1424
2019-01-13,Tele Handlers ,0.028760331,59,35,1,1,5000.56,South Devinton,2019,1,13,6,5,1571
2019-01-14,Backhoe Loader,0.026968037,75,35,1,1,5000.56,Brownfurt,2019,1,14,0,0,111
2019-01-14,Excavators(crawler),0.026968037,75,35,1,1,5000.56,New Jeremiah,2019,1,14,0,2,983
2019-01-14,Skid Steer Loaders,0.026968037,71,35,1,1,5000.56,Port Feliciabury,2019,1,14,0,4,1297
2019-01-14,Compactors,0.026968037,55,35,1,1,5000.56,Port Ronaldshire,2019,1,14,0,1,1364
2019-01-14,Tele Handlers ,0.026968037,59,35,1,1,5000.56,Kellyfort,2019,1,14,0,5,605
2019-01-15,Backhoe Loader,0.030620333,71,35,1,1,5000.56,Singletonchester,2019,1,15,1,0,1508
2019-01-15,Excavators(crawler),0.030620333,86,35,1,1,5000.56,Alexandramouth,2019,1,15,1,2,14
2019-01-15,Loaders (Wheeled),0.030620333,62,35,1,1,5000.56,Trevorton,2019,1,15,1,3,1735
2019-01-15,Skid Steer Loaders,0.030620333,55,35,1,1,5000.56,Port Tabitha,2019,1,15,1,4,1378
2019-01-15,Tele Handlers ,0.030620333,64,35,1,1,5000.56,Lewisbury,2019,1,15,1,5,792
2019-01-16,Excavators(crawler),0.032464403,46,35,1,1,5000.56,Port Jennaborough,2019,1,16,2,2,1309
2019-01-16,Loaders (Wheeled),0.032464403,84,35,1,1,5000.56,East Carl,2019,1,16,2,3,256
2019-01-16,Skid Steer Loaders,0.032464403,69,35,1,1,5000.56,Annaberg,2019,1,16,2,4,53
2019-01-16,Compactors,0.032464403,85,35,1,1,5000.56,Walkershire,2019,1,16,2,1,1761
2019-01-16,Tele Handlers ,0.032464403,67,35,1,1,5000.56,East Andreamouth,2019,1,16,2,5,244
2019-01-17,Backhoe Loader,0.0378373,73,35,1,1,5000.56,Port Seanburgh,2019,1,17,3,0,1370
2019-01-17,Excavators(crawler),0.0378373,80,35,1,1,5000.56,Port Darrenmouth,2019,1,17,3,2,1284
2019-01-17,Loaders (Wheeled),0.0378373,46,35,1,1,5000.56,Jessicabury,2019,1,17,3,3,531
2019-01-17,Skid Steer Loaders,0.0378373,72,35,1,1,5000.56,Port Margaret,2019,1,17,3,4,1331
2025-03-15,Compactors,-0.0378373,39,35,1,1,5000.56,South Jamieside,2025,3,15,5,1,1588
2019-01-17,Tele Handlers ,0.0378373,71,35,1,1,5000.56,East Dustinville,2019,1,17,3,5,279
2019-01-18,Backhoe Loader,0.03203027,72,35,1,1,5000.56,East Dominique,2019,1,18,4,0,274
2019-01-18,Excavators(crawler),0.03203027,69,35,1,1,5000.56,East Lawrenceside,2019,1,18,4,2,315
2019-01-18,Loaders (Wheeled),0.03203027,78,35,1,1,5000.56,New Linda,2019,1,18,4,3,1010
2019-01-18,invalid_data,0.03203027,54,35,1,1,5000.56,Cainberg,2019,1,18,4,6,122
2019-01-18,Compactors,0.03203027,70,35,1,1,5000.56,Lewismouth,2019,1,18,4,1,793
2019-01-18,Tele Handlers ,0.03203027,74,35,1,1,5000.56,North Kristen,2019,1,18,4,5,1152
2019-01-19,Backhoe Loader,0.029959176,3553,35000,1,1,5000.56,Port Emilyshire,2019,1,19,5,0,1294
2019-01-19,Excavators(crawler),0.029959176,71,35,1,1,5000.56,Port Chad,2019,1,19,5,2,1276
2019-01-19,Skid Steer Loaders,0.029959176,71,35,1,1,5000.56,East Douglashaven,2019,1,19,5,4,277
2019-01-19,Compactors,0.029959176,62,35,1,1,5000.56,Brianmouth,2019,1,19,5,1,99
2019-01-19,Tele Handlers ,0.029959176,46,35,1,1,5000.56,Port Brentfurt,2019,1,19,5,5,1270
2019-01-20,Backhoe Loader,0.034874042,84,35,1,1,5000.56,West Williamside,2019,1,20,6,0,1901
2019-01-20,Excavators(crawler),0.034874042,76,35,1,1,5000.56,Silvashire,2019,1,20,6,2,1500
2019-01-20,Loaders (Wheeled),0.034874042,63,35,1,1,5000.56,Robertland,2019,1,20,6,3,1437
2019-01-20,Skid Steer Loaders,0.034874042,48,35,1,1,5000.56,New Reginaport,2019,1,20,6,4,1039
2019-01-20,Compactors,0.034874042,84,35,1,1,5000.56,Timothyberg,2019,1,20,6,1,1719
2019-01-20,Tele Handlers ,0.034874042,75,35,1,1,5000.56,Port Gregory,2019,1,20,6,5,1299
2019-01-21,Excavators(crawler),0.02726277,65,35,1,1,5000.56,Mossfurt,2019,1,21,0,2,914
2019-01-21,Loaders (Wheeled),0.02726277,53,35,1,1,5000.56,Amychester,2019,1,21,0,3,33
2019-01-21,Skid Steer Loaders,0.02726277,63,35,1,1,5000.56,New Barbarabury,2019,1,21,0,4,931
2019-01-21,Compactors,0.02726277,64,35,1,1,5000.56,Vegaborough,2019,1,21,0,1,1751
2025-03-15,Tele Handlers ,0.02726277,65,35,1,1,5000.56,Kathrynburgh,2025,3,15,5,5,594
2019-01-22,Backhoe Loader,0.029110823,3566,35000,1,1,5000.56,South Dustinshire,2019,1,22,1,0,1574
2019-01-22,Excavators(crawler),0.029110823,70,35,1,1,5000.56,Lake Brian,2019,1,22,1,2,645
2019-01-22,Loaders (Wheeled),0.029110823,74,35,1,1,5000.56,West Joseph,2019,1,22,1,3,1837
2019-01-22,Skid Steer Loaders,0.029110823,65,35,1,1,5000.56,East Michelleland,2019,1,22,1,4,325
2019-01-22,Tele Handlers ,0.029110823,79,35,1,1,5000.56,Riosmouth,2019,1,22,1,5,1428
2019-01-23,Excavators(crawler),0.027370308,65,35,1,1,5000.56,Brendaland,2019,1,23,2,2,96
2019-01-23,Loaders (Wheeled),0.027370308,76,35,1,1,5000.56,South Susanbury,2019,1,23,2,3,1653
2019-01-23,invalid_data,0.027370308,65,35,1,1,5000.56,West Jonathanshire,2019,1,23,2,6,1835
2019-01-23,Compactors,0.027370308,87,35,1,1,5000.56,Sanchezstad,2019,1,23,2,1,1467
2019-01-23,Tele Handlers ,0.027370308,63,35,1,1,5000.56,West Michaeltown,2019,1,23,2,5,1866
2019-01-24,Backhoe Loader,0.033687145,62,35,1,1,5000.56,Michelleburgh,2019,1,24,3,0,890
2019-01-24,Excavators(crawler),0.033687145,78,35,1,1,5000.56,New Zacharyville,2019,1,24,3,2,1066
2019-01-24,Skid Steer Loaders,0.033687145,71,35,1,1,5000.56,Katherineport,2019,1,24,3,4,591
2019-01-24,Compactors,0.033687145,57,35,1,1,5000.56,Wadeview,2019,1,24,3,1,1758
2019-01-24,Tele Handlers ,0.033687145,69,35,1,1,5000.56,Markfort,2019,1,24,3,5,828
2019-01-25,Backhoe Loader,0.037494772,3589,35000,1,1,5000.56,New Stephenburgh,2019,1,25,4,0,1049
2019-01-25,Excavators(crawler),0.037494772,68,35,1,1,5000.56,Sandersland,2019,1,25,4,2,1469
2019-01-25,Loaders (Wheeled),0.037494772,71,35,1,1,5000.56,Lake Tonyaport,2019,1,25,4,3,769
2019-01-25,Skid Steer Loaders,0.037494772,78,35,1,1,5000.56,Port Amyside,2019,1,25,4,4,1261
2019-01-25,Compactors,0.037494772,69,35,1,1,5000.56,Nicholsfurt,2019,1,25,4,1,1071
2019-01-25,Tele Handlers ,0.037494772,66,35,1,1,5000.56,Williamstown,2019,1,25,4,5,1917
2025-03-15,invalid_data,0.035355969,67,35,1,1,5000.56,West David,2025,3,15,5,6,1809
2019-01-26,Excavators(crawler),0.035355969,73,35,1,1,5000.56,East Daniel,2019,1,26,5,2,266
2019-01-26,Loaders (Wheeled),0.035355969,81,35,1,1,5000.56,New Miguelburgh,2019,1,26,5,3,1026
2019-01-26,Skid Steer Loaders,0.035355969,62,35,1,1,5000.56,Calderonland,2019,1,26,5,4,124
2019-01-26,Tele Handlers ,0.035355969,66,35,1,1,5000.56,West Matthew,2019,1,26,5,5,1863
2019-01-27,Backhoe Loader,0.036180424,78,35,1,1,5000.56,North Todd,2019,1,27,6,0,1209
2019-01-27,Excavators(crawler),0.036180424,67,35,1,1,5000.56,Leeview,2019,1,27,6,2,788
2019-01-27,Loaders (Wheeled),0.036180424,53,35,1,1,5000.56,Gibsonville,2019,1,27,6,3,404
2019-01-27,Skid Steer Loaders,0.036180424,60,35,1,1,5000.56,Lake Brookeshire,2019,1,27,6,4,648
2019-01-27,Tele Handlers ,0.036180424,69,35,1,1,5000.56,North Elizabeth,2019,1,27,6,5,1113
2019-01-28,Backhoe Loader,0.039784925,3567,35000,1,1,5000.56,New Dawn,2019,1,28,0,0,963
2019-01-28,Excavators(crawler),0.039784925,60,35,1,1,5000.56,Lake Elizabethberg,2019,1,28,0,2,677
2019-01-28,Loaders (Wheeled),0.039784925,77,35,1,1,5000.56,Carlsonville,2019,1,28,0,3,131
2019-01-28,invalid_data,0.039784925,82,35,1,1,5000.56,Villarrealchester,2019,1,28,0,6,1756
2019-01-28,Compactors,0.039784925,82,35,1,1,5000.56,Jenkinsland,2019,1,28,0,1,519
2019-01-28,Tele Handlers ,0.039784925,65,35,1,1,5000.56,New Megan,2019,1,28,0,5,1020
2019-01-29,Backhoe Loader,0.039605696,78,35,1,1,5000.56,Kathyside,2019,1,29,1,0,596
2019-01-29,Excavators(crawler),0.039605696,68,35,1,1,5000.56,Foxbury,2019,1,29,1,2,389
2019-01-29,Skid Steer Loaders,0.039605696,68,35,1,1,5000.56,Littlefurt,2019,1,29,1,4,805
2019-01-29,Compactors,0.039605696,81,35,1,1,5000.56,Victoriatown,2019,1,29,1,1,1755
2019-01-29,Tele Handlers ,0.039605696,81,35,1,1,5000.56,Lawrencehaven,2019,1,29,1,5,784
2019-01-30,Backhoe Loader,0.031914767,56,35,1,1,5000.56,Matthewshire,2019,1,30,2,0,855
2025-03-15,Excavators(crawler),0.031914767,76,35,1,1,5000.56,North Cassie,2025,3,15,5,2,1097
2019-01-30,Skid Steer Loaders,0.031914767,87,35,1,1,5000.56,Port Rebecca,2019,1,30,2,4,1359
2019-01-30,Compactors,0.031914767,77,35,1,1,5000.56,Jorgeport,2019,1,30,2,1,571
2019-01-30,Tele Handlers ,0.031914767,80,35,1,1,5000.56,West Beth,2019,1,30,2,5,1795
2019-01-31,Excavators(crawler),0.027449965,58,35,1,1,5000.56,West Alexander,2019,1,31,3,2,1782
2019-01-31,Loaders (Wheeled),0.027449965,60,35,1,1,5000.56,Hillfort,2019,1,31,3,3,458
2019-01-31,Skid Steer Loaders,0.027449965,78,35,1,1,5000.56,Samanthahaven,2019,1,31,3,4,1464
2019-01-31,Compactors,0.027449965,66,35,1,1,5000.56,East Tom,2019,1,31,3,1,353
2019-01-31,Tele Handlers ,0.027449965,70,35,1,1,5000.56,Sophiamouth,2019,1,31,3,5,1519
2019-02-01,Backhoe Loader,0.034463806,75,35,1,1,5000.56,North Antoniofurt,2019,2,1,4,0,1085
2019-02-01,Excavators(crawler),0.034463806,56,35,1,1,5000.56,Lake Rebecca,2019,2,1,4,2,745
2019-02-01,Loaders (Wheeled),0.034463806,72,35,1,1,5000.56,Hesston,2019,2,1,4,3,455
2019-02-01,Skid Steer Loaders,0.034463806,68,35,1,1,5000.56,Cookfurt,2019,2,1,4,4,171
2019-02-01,Tele Handlers ,0.034463806,81,35,1,1,5000.56,Lake Kevinport,2019,2,1,4,5,718
2019-02-02,Backhoe Loader,0.038629891,78,35,1,1,5000.56,South Caitlin,2019,2,2,5,0,1541
2019-02-02,Excavators(crawler),0.038629891,70,35,1,1,5000.56,Lake Jason,2019,2,2,5,2,692
2019-02-02,Loaders (Wheeled),0.038629891,73,35,1,1,5000.56,New Rebecca,2019,2,2,5,3,1038
2019-02-02,invalid_data,0.038629891,64,35,1,1,5000.56,Jamesside,2019,2,2,5,6,502
2019-02-02,Compactors,0.038629891,51,35,1,1,5000.56,South Sherry,2019,2,2,5,1,1648
2019-02-02,Tele Handlers ,0.038629891,74,35,1,1,5000.56,Harrisport,2019,2,2,5,5,437
2019-02-03,Excavators(crawler),0.025637758,56,35,1,1,5000.56,West Suzanne,2019,2,3,6,2,1888
2025-03-15,Loaders (Wheeled),-0.025637758,76,35,1,1,5000.56,Port Samanthatown,2025,3,15,5,3,1367
2019-02-03,Skid Steer Loaders,0.025637758,72,35,1,1,5000.56,Jodimouth,2019,2,3,6,4,543
2019-02-03,Compactors,0.025637758,85,35,1,1,5000.56,Nelsonburgh,2019,2,3,6,1,918
2019-02-03,Tele Handlers ,0.025637758,49,35,1,1,5000.56,Ramirezshire,2019,2,3,6,5,1402
2019-02-04,Backhoe Loader,0.028812108,65,35,1,1,5000.56,West Mary,2019,2,4,0,0,1861
2019-02-04,Excavators(crawler),0.028812108,71,35,1,1,5000.56,Lisahaven,2019,2,4,0,2,800
2019-02-04,Loaders (Wheeled),0.028812108,51,35,1,1,5000.56,Port Cherylberg,2019,2,4,0,3,1278
2019-02-04,Skid Steer Loaders,0.028812108,69,35,1,1,5000.56,New Davidburgh,2019,2,4,0,4,961
2019-02-04,Compactors,0.028812108,77,35,1,1,5000.56,East Michaelborough,2019,2,4,0,1,323
2019-02-04,Tele Handlers ,0.028812108,94,35,1,1,5000.56,New Heather,2019,2,4,0,5,975
2019-02-05,Excavators(crawler),0.03216967,81,35,1,1,5000.56,Melissashire,2019,2,5,1,2,873
2019-02-05,Loaders (Wheeled),0.03216967,66,35,1,1,5000.56,Coxfurt,2019,2,5,1,3,176
2019-02-05,Skid Steer Loaders,0.03216967,67,35,1,1,5000.56,West Savannah,2019,2,5,1,4,1880
2019-02-05,Compactors,0.03216967,72,35,1,1,5000.56,Port Bryan,2019,2,5,1,1,1273
2019-02-05,Tele Handlers ,0.03216967,82,35,1,1,5000.56,North Sean,2019,2,5,1,5,1199
2019-02-06,Backhoe Loader,0.030429155,3582,35000,1,1,5000.56,New Miranda,2019,2,6,2,0,1028
2019-02-06,Excavators(crawler),0.030429155,63,35,1,1,5000.56,South Jakefurt,2019,2,6,2,2,1585
2019-02-06,Loaders (Wheeled),0.030429155,59,35,1,1,5000.56,East Carloshaven,2019,2,6,2,3,257
2019-02-06,Skid Steer Loaders,0.030429155,64,35,1,1,5000.56,New Williamchester,2019,2,6,2,4,1065
2019-02-06,Tele Handlers ,0.030429155,59,35,1,1,5000.56,New Joshua,2019,2,6,2,5,992
2019-02-07,Backhoe Loader,0.032918451,73,35,1,1,5000.56,North Laurieport,2019,2,7,3,0,1160
2019-02-07,Excavators(crawler),0.032918451,58,35,1,1,5000.56,Williamsberg,2019,2,7,3,2,1914
2019-02-07,Loaders (Wheeled),0.032918451,81,35,1,1,5000.56,East Sherri,2019,2,7,3,3,345
2025-03-15,invalid_data,0.032918451,65,35,1,1,5000.56,West Rodneyhaven,2025,3,15,5,6,1876
2019-02-07,Compactors,0.032918451,55,35,1,1,5000.56,Lake Katherine,2019,2,7,3,1,711
2019-02-07,Tele Handlers ,0.032918451,65,35,1,1,5000.56,Colinchester,2019,2,7,3,5,166
2019-02-08,Backhoe Loader,0.029616648,85,35,1,1,5000.56,Lake William,2019,2,8,4,0,772
2019-02-08,Excavators(crawler),0.029616648,67,35,1,1,5000.56,New Pamela,2019,2,8,4,2,1034
2019-02-08,Skid Steer Loaders,0.029616648,55,35,1,1,5000.56,South Teresa,2019,2,8,4,4,1660
2019-02-08,Compactors,0.029616648,73,35,1,1,5000.56,East Nathaniel,2019,2,8,4,1,328
2019-02-08,Tele Handlers ,0.029616648,72,35,1,1,5000.56,East Phillipton,2019,2,8,4,5,333
2019-02-09,Backhoe Loader,0.024112317,3567,35000,1,1,5000.56,Reedborough,2019,2,9,5,0,1411
2019-02-09,Excavators(crawler),0.024112317,52,35,1,1,5000.56,Sonyaton,2019,2,9,5,2,1517
2019-02-09,Loaders (Wheeled),0.024112317,67,35,1,1,5000.56,Christophermouth,2019,2,9,5,3,157
2019-02-09,Skid Steer Loaders,0.024112317,64,35,1,1,5000.56,Adamchester,2019,2,9,5,4,3
2019-02-09,Compactors,0.024112317,81,35,1,1,5000.56,Stewartborough,2019,2,9,5,1,1685
2019-02-09,Tele Handlers ,0.024112317,74,35,1,1,5000.56,Lake Michelleburgh,2019,2,9,5,5,735
2019-02-10,Excavators(crawler),0.0310465,76,35,1,1,5000.56,Lake Edwinville,2019,2,10,6,2,675
2019-02-10,Skid Steer Loaders,0.0310465,72,35,1,1,5000.56,Comptonbury,2019,2,10,6,4,169
2019-02-10,Compactors,0.0310465,57,35,1,1,5000.56,East Kimberly,2019,2,10,6,1,311
2019-02-10,Tele Handlers ,0.0310465,65,35,1,1,5000.56,Saraland,2019,2,10,6,5,1477
2019-02-11,Backhoe Loader,0.037721796,80,35,1,1,5000.56,Normanmouth,2019,2,11,0,0,1073
2019-02-11,Excavators(crawler),0.037721796,73,35,1,1,5000.56,Susanberg,2019,2,11,0,2,1689
2019-02-11,Loaders (Wheeled),0.037721796,69,35,1,1,5000.56,Cynthiaside,2019,2,11,0,3,184
2019-02-11,Skid Steer Loaders,0.037721796,85,35,1,1,5000.56,East Sonya,2019,2,11,0,4,346
2025-03-15,Compactors,0.037721796,79,35,1,1,5000.56,New Tamara,2025,3,15,5,1,1053
2019-02-11,Tele Handlers ,0.037721796,59,35,1,1,5000.56,South Olivia,2019,2,11,0,5,1628
2019-02-12,Backhoe Loader,0.035710445,3568,35000,1,1,5000.56,Lake Charlesside,2019,2,12,1,0,656
2019-02-12,Excavators(crawler),0.035710445,74,35,1,1,5000.56,East Tiffany,2019,2,12,1,2,352
2019-02-12,Loaders (Wheeled),0.035710445,75,35,1,1,5000.56,Costahaven,2019,2,12,1,3,173
2019-02-12,invalid_data,0.035710445,77,35,1,1,5000.56,Lake Mackenziestad,2019,2,12,1,6,723
2019-02-12,Compactors,0.035710445,63,35,1,1,5000.56,Kristinebury,2019,2,12,1,1,630
2019-02-12,Tele Handlers ,0.035710445,74,35,1,1,5000.56,Blankenshiptown,2019,2,12,1,5,84
2019-02-13,Backhoe Loader,0.028760331,83,35,1,1,5000.56,New Austin,2019,2,13,2,0,930
2019-02-13,Excavators(crawler),0.028760331,55,35,1,1,5000.56,Ramirezbury,2019,2,13,2,2,1401
2019-02-13,Skid Steer Loaders,0.028760331,66,35,1,1,5000.56,Amyfurt,2019,2,13,2,4,35
2019-02-13,Compactors,0.028760331,77,35,1,1,5000.56,South Alexander,2019,2,13,2,1,1523
2019-02-13,Tele Handlers ,0.028760331,51,35,1,1,5000.56,Joelberg,2019,2,13,2,5,544
2019-02-14,Excavators(crawler),0.026968037,70,35,1,1,5000.56,Port Michaelhaven,2019,2,14,3,2,1340
2019-02-14,Loaders (Wheeled),0.026968037,86,35,1,1,5000.56,North Daniel,2019,2,14,3,3,1102
2019-02-14,Skid Steer Loaders,0.026968037,68,35,1,1,5000.56,Lake Robertside,2019,2,14,3,4,746
2019-02-14,Compactors,0.026968037,57,35,1,1,5000.56,South Karen,2019,2,14,3,1,1606
2019-02-14,Tele Handlers ,0.026968037,70,35,1,1,5000.56,Lake Pamela,2019,2,14,3,5,740
2019-02-15,Excavators(crawler),0.030620333,55,35,1,1,5000.56,Wolfeburgh,2019,2,15,4,2,1924
2019-02-15,Loaders (Wheeled),0.030620333,81,35,1,1,5000.56,Lake Debbieborough,2019,2,15,4,3,669
2019-02-15,Skid Steer Loaders,0.030620333,81,35,1,1,5000.56,New Lisa,2019,2,15,4,4,1012
2019-02-15,Compactors,0.030620333,84,35,1,1,5000.56,Lake Thomas,2019,2,15,4,1,766
2025-03-15,Tele Handlers ,0.030620333,68,35,1,1,5000.56,Port Kylie,2025,3,15,5,5,1324
2019-02-16,Backhoe Loader,0.032464403,69,35,1,1,5000.56,South Davidville,2019,2,16,5,0,1567
2019-02-16,Excavators(crawler),0.032464403,72,35,1,1,5000.56,North Brandon,2019,2,16,5,2,1091
2019-02-16,Loaders (Wheeled),0.032464403,59,35,1,1,5000.56,North Joshuamouth,2019,2,16,5,3,1141
2019-02-16,Skid Steer Loaders,0.032464403,51,35,1,1,5000.56,South Jamesbury,2019,2,16,5,4,1586
2019-02-16,Tele Handlers ,0.032464403,94,35,1,1,5000.56,West Kimberlyville,2019,2,16,5,5,1851
